,project,package,class,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
1,RefactoringMiner,org.refactoringminer.api,Churn,ExtractInterface,"CHANGE_RETURN_TYPE,CHANGE_RETURN_TYPE,CHANGE_RETURN_TYPE,CHANGE_RETURN_TYPE,EXTRACT_INTERFACE",5,"PULL_UP_SIGNATURE_METHOD,EXTRACT_INTERFACE,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD",4
2,RefactoringMiner,org.refactoringminer.api,CodeRangeProvider,ExtractInterface,EXTRACT_INTERFACE,1,EXTRACT_INTERFACE,1
3,RefactoringMiner,org.refactoringminer.api,GitHistoryRefactoringMiner,ExtractInterface,EXTRACT_INTERFACE,1,EXTRACT_INTERFACE,1
4,RefactoringMiner,org.refactoringminer.api,GitService,ExtractInterface,EXTRACT_INTERFACE,1,EXTRACT_INTERFACE,1
5,RefactoringMiner,org.refactoringminer.api,Refactoring,ExtractInterface,"CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_RETURN_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,EXTRACT_INTERFACE",30,"EXTRACT_INTERFACE,PULL_UP_METHOD,PULL_UP_METHOD,PULL_UP_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_METHOD,PULL_UP_METHOD",7
6,RefactoringMiner,org.refactoringminer.api,RefactoringHandler,ExtractInterface,"CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,EXTRACT_INTERFACE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE",23,"EXTRACT_INTERFACE,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD",27
7,RefactoringMiner,org.refactoringminer.api,RefactoringMinerTimedOutException,ExtractInterface,EXTRACT_INTERFACE,1,EXTRACT_INTERFACE,1
8,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeFragment,ExtractInterface,"CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,EXTRACT_INTERFACE",42,"CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,EXTRACT_INTERFACE,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD",50
9,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,ExtractInterface,"CHANGE_VARIABLE_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,EXTRACT_INTERFACE",65,"CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,EXTRACT_INTERFACE,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD",27
10,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,ExtractInterface,"CHANGE_RETURN_TYPE,CHANGE_ATTRIBUTE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_PARAMETER_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_RETURN_TYPE,CHANGE_RETURN_TYPE,CHANGE_RETURN_TYPE,CHANGE_ATTRIBUTE_TYPE,CHANGE_ATTRIBUTE_TYPE,CHANGE_ATTRIBUTE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,CHANGE_VARIABLE_TYPE,EXTRACT_INTERFACE",40,"PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,EXTRACT_INTERFACE,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,CHANGE_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD,PULL_UP_SIGNATURE_METHOD",31
