,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
1,RefactoringMiner,org.refactoringminer.api,RefactoringType,aggregate#QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
2,RefactoringMiner,org.refactoringminer.api,RefactoringType,getAbbreviation#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
3,RefactoringMiner,org.refactoringminer.api,RefactoringType,parse#QString;QCollectionQRefactoringRelationship,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
4,RefactoringMiner,org.refactoringminer.api,RefactoringType,parseRefactoring#QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
5,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,actualString#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
6,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIntersection#QAbstractCall,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
7,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIntersectionSize#QAbstractCall;QMapQStringQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
8,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,equalsIgnoringExtraParenthesis#QString;QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
9,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalOrConcatenatedArguments#QAbstractCall,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
10,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalOrWrappedArguments#QAbstractCall,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
11,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalWithMergedArguments#QAbstractCall;QSetQReplacement,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
12,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,preprocessArguments#QListQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
13,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,update#QAbstractCall;QString;QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
14,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeFragment,countableStatement#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
15,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeFragment,creationCoveringEntireFragment#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
16,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeFragment,expressionIsTheRightHandSideOfAssignment#QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
17,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeFragment,invocationCoveringEntireFragment#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
18,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeFragment,isCastExpressionCoveringEntireFragment#QString,ExtractMethod,EXTRACT_METHOD,1,NA,0
19,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeFragment,quoteAfter#QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
20,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeFragment,quoteBefore#QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
21,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeFragment,replaceParametersWithArguments#QMapQStringQString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
22,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,equals#QObject,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
23,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,hashCode#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
24,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,inlinedVariableAssignment#QAbstractCodeFragment;QList+QAbstractCodeFragment;QSetQRefactoring,ExtractMethod,"EXTRACT_METHOD,EXTRACT_METHOD,EXTRACT_METHOD",3,EXTRACT_METHOD,1
25,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,isExactAfterAbstraction#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
26,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,isKeyword#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
