,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
1,RefactoringMiner,org.refactoringminer.api,RefactoringType,attributeKey#QString;QString,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
2,RefactoringMiner,org.refactoringminer.api,RefactoringType,methodKey#QString;QString,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
3,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,allArgumentsReplaced#QAbstractCall;QSetQReplacement,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
4,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIntersectionSize#QAbstractCall;QMapQStringQString,InlineMethod,"INLINE_METHOD,RENAME_VARIABLE",2,INLINE_METHOD,1
5,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIsAssigned#QString,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
6,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIsEqual#QString,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",6,"INLINE_METHOD,INLINE_METHOD",2
7,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIsReturned#QString,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",6,"INLINE_METHOD,INLINE_METHOD",2
8,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,equalArguments#QAbstractCall,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD",40,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",9
9,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identical#QAbstractCall;QSetQReplacement,InlineMethod,NA,0,INLINE_METHOD,1
10,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalExpression#QAbstractCall,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,"INLINE_METHOD,INLINE_METHOD",2
11,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,onlyArgumentsChanged#QAbstractCall;QSetQReplacement,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",6,"INLINE_METHOD,INLINE_METHOD",2
12,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,renamedWithDifferentExpressionAndIdenticalArguments#QAbstractCall,InlineMethod,NA,0,INLINE_METHOD,1
13,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,update#QAbstractCall;QString;QString,InlineMethod,"MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD",2,"INLINE_METHOD,INLINE_METHOD",2
14,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeFragment,throwsNewException#,InlineMethod,MOVE_AND_INLINE_METHOD,1,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",4
15,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,isKeyword#,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
16,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,processExtractVariableRefactoring#QExtractVariableRefactoring;QSetQRefactoring,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",4,"INLINE_METHOD,INLINE_METHOD",2
17,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,processInlineVariableRefactoring#QInlineVariableRefactoring;QSetQRefactoring,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
18,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getOwner#,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
19,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,aliasedAttributes#,InlineMethod,MOVE_AND_INLINE_METHOD,1,INLINE_METHOD,1
