project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIsEqual#QString,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIsReturned#QString,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIsAssigned#QString,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,codeRange#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,getCoverage#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,preprocessArguments#QListQString,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,addReplacement#QReplacement,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,NA,0
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,containsIdenticalOrCompositeReplacement#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,containsReplacement#QReplacementType,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,NA,0
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,containsVariableNameReplacement#QString,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,equals#QObject,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,hashCode#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,inlinedVariableAssignment#QAbstractCodeFragment;QList+QAbstractCodeFragment;QSetQRefactoring,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,isExactAfterAbstraction#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,isKeyword#,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,overlappingExtractVariable#QAbstractExpression;QString;QList+QAbstractCodeFragment;QSetQRefactoring,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,processExtractVariableRefactoring#QExtractVariableRefactoring;QSetQRefactoring,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,processInlineVariableRefactoring#QInlineVariableRefactoring;QSetQRefactoring,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,reservedTokenMatch#QAbstractExpression;QReplacement;QString,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,temporaryVariableAssignment#QAbstractCodeFragment;QList+QAbstractCodeFragment;QSetQRefactoring;QUMLClassBaseDiff,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,ternaryMatch#QAbstractExpression;QString,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeMapping,toString#,MoveMethod,NA,0,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getAnonymousClassDeclarations#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getArguments#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getArrayAccesses#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getBooleanLiterals#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getCreationMap#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getInfixOperators#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getLambdas#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getMethodInvocationMap#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getNullLiterals#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getNumberLiterals#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getOwner#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,INLINE_METHOD,-1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getParent#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getPostfixExpressions#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getPrefixExpressions#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getString#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getStringLiterals#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getTernaryOperatorExpressions#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getTypeLiterals#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getTypes#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getVariableDeclarations#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getVariableDeclaration#QString,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,getVariables#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,searchVariableDeclaration#QString,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,setOwner#QCompositeStatementObject,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractExpression,toString#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractStatement,getParent#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,NA,0
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractStatement,getString#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractStatement,searchVariableDeclaration#QString,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractStatement,setParent#QCompositeStatementObject,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,NA,0
RefactoringMiner,gr.uom.java.xmi.decomposition,AnonymousClassDeclarationObject,toString#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,addExpression#QAbstractExpression,MoveMethod,NA,0,MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,addVariableDeclaration#QVariableDeclaration,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,NA,0
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,contains#QAbstractCodeFragment,MoveMethod,"RENAME_PARAMETER,CHANGE_PARAMETER_TYPE,MOVE_METHOD",3,NA,0
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getAnonymousClassDeclarations#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getArguments#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getArrayAccesses#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getBooleanLiterals#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getCreationMap#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getInfixOperators#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getLambdas#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getLeaves#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getMethodInvocationMap#,MoveMethod,EXTRACT_AND_MOVE_METHOD,1,EXTRACT_MOVE_METHOD,1
