,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
1,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractStatement,getLeaves#,PullUpMethod,NA,0,PULL_UP_METHOD,1
2,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractStatement,statementCount#,PullUpMethod,NA,0,PULL_UP_METHOD,1
3,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,aliasedAttributes#,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
4,RefactoringMiner,gr.uom.java.xmi.decomposition,LeafMapping,callChainIntersection#,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
5,RefactoringMiner,gr.uom.java.xmi.decomposition,LeafMapping,parentEditDistance#,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
6,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,compatibleTypes#QUMLParameter;QUMLType;QUMLModelDiff,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
7,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,differInThisDot#QString;QString,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
8,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,dotInsideArguments#I;QString,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
9,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,processExpression#QExpression;QListQString,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
10,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,typeInferenceMatch#QUMLOperation;QMapQStringQUMLType,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
11,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,varArgsMatch#QUMLOperation,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
12,RefactoringMiner,gr.uom.java.xmi.decomposition,StatementObject,getVariableDeclaration#QString,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
13,RefactoringMiner,gr.uom.java.xmi.decomposition,StatementObject,stringRepresentation#,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
14,RefactoringMiner,gr.uom.java.xmi.diff,UMLClassDiff,containsMapperForOperation#QUMLOperation,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
15,RefactoringMiner,gr.uom.java.xmi.diff,UMLClassDiff,reportAddedAttribute#QUMLAttribute,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
16,RefactoringMiner,gr.uom.java.xmi.diff,UMLClassDiff,reportAddedOperation#QUMLOperation,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
17,RefactoringMiner,gr.uom.java.xmi.diff,UMLClassDiff,reportRemovedAttribute#QUMLAttribute,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
18,RefactoringMiner,gr.uom.java.xmi.diff,UMLClassDiff,reportRemovedOperation#QUMLOperation,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
19,RefactoringMiner,gr.uom.java.xmi.diff,UMLClassMoveDiff,equals#QObject,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
20,RefactoringMiner,gr.uom.java.xmi.diff,UMLClassMoveDiff,getMovedClass#,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
21,RefactoringMiner,gr.uom.java.xmi.diff,UMLClassRenameDiff,getRenamedClass#,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
22,RefactoringMiner,gr.uom.java.xmi.diff,UMLClassRenameDiff,samePackage#,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
23,RefactoringMiner,gr.uom.java.xmi,LeafType,simpleNameOf#QString,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
24,google-maps-services-java,com.google.maps,DirectionsApiRequest,prefixPlaceId#QString,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
25,spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry,CloudFoundryWebEndpointDiscoverer,isHealthEndpointExtension#QClass,PullUpMethod,PULL_UP_METHOD,1,PULL_UP_METHOD,1
