,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
1,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,allArgumentsReplaced#QAbstractCall;QSetQReplacement;QMapQStringQString,PushDownMethod,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2
2,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,codeRange#,PushDownMethod,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2
3,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,expressionIsNullOrThis#,PushDownMethod,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2
4,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,getCoverage#,PushDownMethod,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2
5,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,getLocationInfo#,PushDownMethod,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2
6,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalOrConcatenatedArguments#QAbstractCall,PushDownMethod,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2
7,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalOrWrappedArguments#QAbstractCall,PushDownMethod,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2
8,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,makeReplacementForAssignedArgument#QString,PushDownMethod,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2
9,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,renamedWithIdenticalExpressionAndArguments#QAbstractCall;QSetQReplacement;D,PushDownMethod,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2
10,RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,renamedWithDifferentExpressionAndIdenticalArguments#QAbstractCall,PushDownMethod,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2,"PUSH_DOWN_METHOD,PUSH_DOWN_METHOD",2
