project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
RefactoringMiner,org.refactoringminer.api,Churn,getChurn#,RenameMethod,RENAME_METHOD,1,NA,0
RefactoringMiner,org.refactoringminer.api,Churn,getLinesAdded#,RenameMethod,RENAME_METHOD,1,NA,0
RefactoringMiner,org.refactoringminer.api,Churn,getLinesRemoved#,RenameMethod,RENAME_METHOD,1,NA,0
RefactoringMiner,org.refactoringminer.api,Refactoring,toJSON#,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,org.refactoringminer.api,RefactoringType,aggregate#QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,org.refactoringminer.api,RefactoringType,attributeKey#QString;QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,org.refactoringminer.api,RefactoringType,extractFromDescription#QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,org.refactoringminer.api,RefactoringType,fromName#QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,org.refactoringminer.api,RefactoringType,getAbbreviation#,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,org.refactoringminer.api,RefactoringType,getDisplayName#,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,org.refactoringminer.api,RefactoringType,getGroup#QString;I,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,org.refactoringminer.api,RefactoringType,getRegex#,RenameMethod,RENAME_METHOD,1,NA,0
RefactoringMiner,org.refactoringminer.api,RefactoringType,methodKey#QString;QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,org.refactoringminer.api,RefactoringType,parse#QString;QCollectionQRefactoringRelationship,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,org.refactoringminer.api,RefactoringType,parseRefactoring#QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,actualString#,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,allArgumentsReplaced#QAbstractCall;QSetQReplacement,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,allArgumentsReplaced#QAbstractCall;QSetQReplacement;QMapQStringQString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIntersection#QAbstractCall,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIntersectionSize#QAbstractCall;QMapQStringQString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIsEqual#QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIsReturned#QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,argumentIsAssigned#QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,equalArguments#QAbstractCall,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,equalsIgnoringExtraParenthesis#QString;QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,expressionIsNullOrThis#,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,getArguments#,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,getCoverage#,RenameMethod,RENAME_METHOD,1,NA,0
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,getExpression#,RenameMethod,RENAME_METHOD,1,NA,0
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identical#QAbstractCall;QSetQReplacement,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalExpression#QAbstractCall;QSetQReplacement,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalExpression#QAbstractCall,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalExpressionAfterTypeReplacements#QAbstractCall;QSetQReplacement,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalOrReplacedArguments#QAbstractCall;QSetQReplacement,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalOrConcatenatedArguments#QAbstractCall,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalOrWrappedArguments#QAbstractCall,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalWithMergedArguments#QAbstractCall;QSetQReplacement,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,identicalWithDifferentNumberOfArguments#QAbstractCall;QSetQReplacement;QMapQStringQString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,makeReplacementForReturnedArgument#QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,makeReplacementForWrappedCall#QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,makeReplacementForAssignedArgument#QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,onlyArgumentsChanged#QAbstractCall;QSetQReplacement,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,preprocessArguments#QListQString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,renamedWithIdenticalExpressionAndArguments#QAbstractCall;QSetQReplacement;D,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,renamedWithDifferentExpressionAndIdenticalArguments#QAbstractCall,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,renamedWithIdenticalArgumentsAndNoExpression#QAbstractCall;D;QListQUMLOperationBodyMapper,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,renamedWithIdenticalExpressionAndDifferentNumberOfArguments#QAbstractCall;QSetQReplacement;D;QListQUMLOperationBodyMapper,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCall,update#QAbstractCall;QString;QString,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
RefactoringMiner,gr.uom.java.xmi.decomposition,AbstractCodeFragment,assignmentInvocationCoveringEntireStatement#,RenameMethod,RENAME_METHOD,1,RENAME_METHOD,1
